


更新时间,#genre#
咪视通-21,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011529
咪视通-22,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011530
咪视通-23,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011531
咪视通-24,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000000097
咪视通-25,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000002019
咪视通-26,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000002809
咪视通-27,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000003915
咪视通-28,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000004193
咪视通-29,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000006077
咪视通-30,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000006658
咪视通-31,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000009788
咪视通-32,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000010833
咪视通-33,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000011297
咪视通-34,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000011518
咪视通-35,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000012558
咪视通-36,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000012616
咪视通-37,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015470
咪视通-38,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015560
咪视通-39,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000017678
咪视通-40,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000019839
咪视通-41,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000021904
咪视通-42,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000023434
咪视通-43,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000025380
咪视通-44,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000027691
咪视通-45,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000031669


央视频道,#genre#

CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17

CCTV1,http://154.219.105.170:82/iptvYS5098.php?id=20000
CCTV2,http://154.219.105.170:82/iptvYS5098.php?id=20001
CCTV3,http://154.219.105.170:82/iptvYS5098.php?id=20002
CCTV4,http://154.219.105.170:82/iptvYS5098.php?id=20003
CCTV5,http://154.219.105.170:82/iptvYS5098.php?id=20004
CCTV5+,http://154.219.105.170:82/iptvYS5098.php?id=20005
CCTV6,http://154.219.105.170:82/iptvYS5098.php?id=20006
CCTV7,http://154.219.105.170:82/iptvYS5098.php?id=20007
CCTV8,http://154.219.105.170:82/iptvYS5098.php?id=20008
CCTV9,http://154.219.105.170:82/iptvYS5098.php?id=20009
CCTV10,http://154.219.105.170:82/iptvYS5098.php?id=20010
CCTV11,http://154.219.105.170:82/iptvYS5098.php?id=20011
CCTV12,http://154.219.105.170:82/iptvYS5098.php?id=20012
CCTV13,http://154.219.105.170:82/iptvYS5098.php?id=20013
CCTV14,http://154.219.105.170:82/iptvYS5098.php?id=20014
CCTV15,http://154.219.105.170:82/iptvYS5098.php?id=20015
CCTV16,http://154.219.105.170:82/iptvYS5098.php?id=20016
CCTV17,http://154.219.105.170:82/iptvYS5098.php?id=20017

CCTV1,http://123.118.63.55:8686/rtp/239.3.1.129:8008
CCTV2,http://123.118.63.55:8686/rtp/239.3.1.60:8084
CCTV3,http://123.118.63.55:8686/rtp/239.3.1.172:8001
CCTV4,http://123.118.63.55:8686/rtp/239.3.1.105:8092
CCTV5,http://123.118.63.55:8686/rtp/239.3.1.173:8001
CCTV5+,http://123.118.63.55:8686/rtp/239.3.1.130:8004
CCTV6,http://123.118.63.55:8686/rtp/239.3.1.174:8001
CCTV7,http://123.118.63.55:8686/rtp/239.3.1.61:8104
CCTV8,http://123.118.63.55:8686/rtp/239.3.1.175:8001
CCTV9,http://123.118.63.55:8686/rtp/239.3.1.62:8112
CCTV10,http://123.118.63.55:8686/rtp/239.3.1.63:8116
CCTV11,http://123.118.63.55:8686/rtp/239.3.1.152:8120
CCTV12,http://123.118.63.55:8686/rtp/239.3.1.64:8124
CCTV13,http://123.118.63.55:8686/rtp/239.3.1.124:8128
CCTV14,http://123.118.63.55:8686/rtp/239.3.1.65:8132
CCTV15,http://123.118.63.55:8686/rtp/239.3.1.153:8136
CCTV16,http://123.118.63.55:8686/rtp/239.3.1.184:8001
CCTV17,http://123.118.63.55:8686/rtp/239.3.1.151:8144

CCTV1,http://1.24.39.180:808/hls/1/index.m3u8
CCTV2,http://1.24.39.180:808/hls/2/index.m3u8
CCTV3,http://1.24.39.180:808/hls/3/index.m3u8
CCTV4,http://1.24.39.180:808/hls/4/index.m3u8
CCTV5,http://1.24.39.180:808/hls/5/index.m3u8
CCTV6,http://1.24.39.180:808/hls/6/index.m3u8
CCTV7,http://1.24.39.180:808/hls/7/index.m3u8
CCTV8,http://1.24.39.180:808/hls/8/index.m3u8
CCTV9,http://1.24.39.180:808/hls/9/index.m3u8
CCTV10,http://1.24.39.180:808/hls/10/index.m3u8
CCTV11,http://1.24.39.180:808/hls/11/index.m3u8
CCTV12,http://1.24.39.180:808/hls/12/index.m3u8
CCTV13,http://1.24.39.180:808/hls/13/index.m3u8
CCTV14,http://1.24.39.180:808/hls/14/index.m3u8
CCTV15,http://1.24.39.180:808/hls/15/index.m3u8
CCTV16,http://1.24.39.180:808/hls/60/index.m3u8
CCTV17,http://1.24.39.180:808/hls/61/index.m3u8
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8



CCTV1,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV2,http://222.223.41.27:8888/hls/2/index.m3u8
CCTV3,http://222.223.41.27:8888/hls/3/index.m3u8
CCTV4,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV5,http://222.223.41.27:8888/hls/5/index.m3u8
CCTV6,http://222.223.41.27:8888/hls/6/index.m3u8
CCTV7,http://222.223.41.27:8888/hls/7/index.m3u8
CCTV8,http://222.223.41.27:8888/hls/8/index.m3u8
CCTV9,http://222.223.41.27:8888/hls/9/index.m3u8
CCTV10,http://222.223.41.27:8888/hls/10/index.m3u8
CCTV11,http://222.223.41.27:8888/hls/11/index.m3u8
CCTV12,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV13,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV14,http://222.223.41.27:8888/hls/14/index.m3u8
CCTV15,http://222.223.41.27:8888/hls/15/index.m3u8



CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV5+,http://69.30.246.194/live/cctv5p.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV7,http://69.30.245.50/live/cctv7.m3u8
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV9,http://69.30.245.50/live/cctv9.m3u8
CCTV10,http://69.30.245.50/live/cctv10.m3u8
CCTV11,http://69.30.246.194/live/cctv11.m3u8
CCTV12,http://69.30.246.194/live/cctv12.m3u8
CCTV13,http://69.30.246.194/live/cctv13.m3u8
CCTV14,http://69.30.246.194/live/cctv14.m3u8
CCTV15,http://69.30.246.194/live/cctv15.m3u8
CCTV16,http://69.30.246.194/live/cctv16.m3u8
CCTV17,http://69.30.246.194/live/cctv17.m3u8



CCTV-1HD,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-2HD,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-3HD,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-4HD,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-5HD,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5+HD,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-6HD,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub
CCTV-7HD,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub

CCTV1,http://go.bkpcp.top/mg/cctv1$migu
CCTV2,http://go.bkpcp.top/mg/cctv2$migu
CCTV3,http://go.bkpcp.top/mg/cctv3$migu
CCTV4,http://go.bkpcp.top/mg/cctv4$migu
CCTV5,http://go.bkpcp.top/mg/cctv5$migu
CCTV5+,http://go.bkpcp.top/mg/cctv5p$migu
CCTV6,http://go.bkpcp.top/mg/cctv6$migu
CCTV7,http://go.bkpcp.top/mg/cctv7$migu
CCTV8,http://go.bkpcp.top/mg/cctv8$migu
CCTV9,http://go.bkpcp.top/mg/cctv9$migu
CCTV10,http://go.bkpcp.top/mg/cctv10$migu
CCTV11,http://go.bkpcp.top/mg/cctv11$migu
CCTV12,http://go.bkpcp.top/mg/cctv12$migu
CCTV13,http://go.bkpcp.top/mg/cctv13$migu
CCTV14,http://go.bkpcp.top/mg/cctv14$migu
CCTV15,http://go.bkpcp.top/mg/cctv15$migu
CCTV16,http://go.bkpcp.top/mg/cctv16$migu
CCTV17,http://go.bkpcp.top/mg/cctv17$migu

C




4K高清,#genre#

CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
湖南4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
浙江4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,http://106.53.99.30/tv/api.php?id=hebtv4k
苏州4K,http://106.53.99.30/tv/api.php?id=sztv4k
广东4K,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146
广东4K,http://119.32.12.12:2901/udp/225.1.101.86:7523
广州南国都市4K,https://tencentplaybusiness.gztv.com/live/nanguodushi.m3u8
广州南国都市4K,http://i.iill.top:12838/gztv/shenghuo
湖南4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_HUNAN-4K/G_HUNAN-4K.m3u8
江苏4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-4K/G_JIANGSU-4K.m3u8
东方4K,http://cdn.jdshipin.com/kkxw.php?id=1
深圳4K,https://cdn3.163189.xyz/163189/szws4k
四川4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_SICHUAN-4K/G_SICHUAN-4K.m3u8
山东4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANDONG-4K/G_SHANDONG-4K.m3u8
河南4K,http://115.58.216.210:4000/rtp/225.1.4.254:1300$河南电信
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
CCTV4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-4K-HD/G_CCTV-4K-HD.m3u8
CCTV16-4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-16-4K/G_CCTV-16-4K.m3u8
北京4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_BEIJING-4K/G_BEIJING-4K.m3u8
广东4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_GUANGDONG-4K/G_GUANGDONG-4K.m3u8
深圳4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHENZHEN-4K/G_SHENZHEN-4K.m3u8
浙江4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_ZHEJIANG-4K/G_ZHEJIANG-4K.m3u8
北京卫视频4k,http://106.53.99.30/tv/bj.php?id=bjws4k
东方卫视频4k,http://106.53.99.30/tv/api.php?id=dfws4k
深圳卫视频4k,http://106.53.99.30/tv/api.php?id=szws4k
北京4k,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140
东方4k,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140
浙江4k,http://ddns.xryo.cn:8888/udp/239.111.205.65:5140
江苏4k,http://ddns.xryo.cn:8888/udp/239.111.205.64:5140
湖南4k,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140
广东4k,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
深圳4k,http://ddns.xryo.cn:8888/udp/239.111.205.104:5140
山东4k,http://ddns.xryo.cn:8888/udp/239.111.205.66:5140
四川4k,http://ddns.xryo.cn:8888/udp/239.111.205.62:5140


卫视频道,#genre#

北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws

广东卫视,http://154.219.105.170:82/iptvYS5098.php?id=20020
深圳卫视,http://154.219.105.170:82/iptvYS5098.php?id=20022
广西卫视,http://154.219.105.170:82/iptvYS5098.php?id=20036
海南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20035
河南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20043
湖北卫视,http://154.219.105.170:82/iptvYS5098.php?id=20032
湖南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20031
北京卫视,http://154.219.105.170:82/iptvYS5098.php?id=20023
天津卫视,http://154.219.105.170:82/iptvYS5098.php?id=20037
河北卫视,http://154.219.105.170:82/iptvYS5098.php?id=20042
江西卫视,http://154.219.105.170:82/iptvYS5098.php?id=20041
内蒙古卫视,http://154.219.105.170:82/iptvYS5098.php?id=20050
辽宁卫视,http://154.219.105.170:82/iptvYS5098.php?id=20038
吉林卫视,http://154.219.105.170:82/iptvYS5098.php?id=20040
陕西卫视,http://154.219.105.170:82/iptvYS5098.php?id=20047
黑龙江卫视,http://154.219.105.170:82/iptvYS5098.php?id=20034
东方卫视,http://154.219.105.170:82/iptvYS5098.php?id=20025
江苏卫视,http://154.219.105.170:82/iptvYS5098.php?id=20024
浙江卫视,http://154.219.105.170:82/iptvYS5098.php?id=20033
安徽卫视,http://154.219.105.170:82/iptvYS5098.php?id=20039
山东卫视,http://154.219.105.170:82/iptvYS5098.php?id=20030
东南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20026
山西卫视,http://154.219.105.170:82/iptvYS5098.php?id=20048
重庆卫视,http://154.219.105.170:82/iptvYS5098.php?id=20028
四川卫视,http://154.219.105.170:82/iptvYS5098.php?id=20029
贵州卫视,http://154.219.105.170:82/iptvYS5098.php?id=20044
云南卫视,http://154.219.105.170:82/iptvYS5098.php?id=20054
西藏卫视,http://154.219.105.170:82/iptvYS5098.php?id=20027
甘肃卫视,http://154.219.105.170:82/iptvYS5098.php?id=20045
青海卫视,http://154.219.105.170:82/iptvYS5098.php?id=20046
宁夏卫视,http://154.219.105.170:82/iptvYS5098.php?id=20049
新疆卫视,http://154.219.105.170:82/iptvYS5098.php?id=20021
兵团卫视,http://154.219.105.170:82/iptvYS5098.php?id=20051
三沙卫视,http://154.219.105.170:82/iptvYS5098.php?id=20055

湖南卫视,http://123.118.63.55:8686/rtp/239.3.1.132:8012
东方卫视,http://123.118.63.55:8686/rtp/239.3.1.136:8032
浙江卫视,http://123.118.63.55:8686/rtp/239.3.1.137:8036
江苏卫视,http://123.118.63.55:8686/rtp/239.3.1.135:8028
深圳卫视,http://123.118.63.55:8686/rtp/239.3.1.134:8020
广东卫视,http://123.118.63.55:8686/rtp/239.3.1.142:8048
安徽卫视,http://123.118.63.55:8686/rtp/239.3.1.211:8064
天津卫视,http://123.118.63.55:8686/rtp/239.3.1.141:1234
重庆卫视,http://123.118.63.55:8686/rtp/239.3.1.122:8160
山东卫视,http://123.118.63.55:8686/rtp/239.3.1.209:8052
河北卫视,http://123.118.63.55:8686/rtp/239.3.1.148:8072
辽宁卫视,http://123.118.63.55:8686/rtp/239.3.1.210:8056
湖北卫视,http://123.118.63.55:8686/rtp/239.3.1.138:8044
吉林卫视,http://123.118.63.55:8686/rtp/239.3.1.240:8172
贵州卫视,http://123.118.63.55:8686/rtp/239.3.1.149:8076
东南卫视,http://123.118.63.55:8686/rtp/239.3.1.156:8148
江西卫视,http://123.118.63.55:8686/rtp/239.3.1.123:8164
海南卫视,http://123.118.63.55:8686/rtp/239.3.1.45:8304
黑龙江卫视,http://123.118.63.55:8686/rtp/239.3.1.133:8016
云南卫视,http://123.118.63.55:8686/rtp/239.3.1.26:8108
四川卫视,http://123.118.63.55:8686/rtp/239.3.1.29:8288
宁夏卫视,http://123.118.63.55:8686/rtp/239.3.1.46:8124
山西卫视,http://123.118.63.55:8686/rtp/239.3.1.42:8172
广西卫视,http://123.118.63.55:8686/rtp/239.3.1.39:8300
新疆卫视,http://123.118.63.55:8686/rtp/239.3.1.48:8160
河南卫视,http://123.118.63.55:8686/rtp/239.3.1.27:8128
甘肃卫视,http://123.118.63.55:8686/rtp/239.3.1.49:8188
西藏卫视,http://123.118.63.55:8686/rtp/239.3.1.47:8164
陕西卫视,http://123.118.63.55:8686/rtp/239.3.1.41:8140
青海卫视,http://123.118.63.55:8686/rtp/239.3.1.44:8184
内蒙古卫视,http://123.118.63.55:8686/rtp/239.3.1.43:8176
三沙卫视,http://123.118.63.55:8686/rtp/239.3.1.155:4120
厦门卫视,http://123.118.63.55:8686/rtp/239.3.1.143:4120
兵团卫视,http://123.118.63.55:8686/rtp/239.3.1.144:4120

北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws

河北卫视,http://222.223.41.27:8888/hls/16/index.m3u8
北京卫视,http://222.223.41.27:8888/hls/31/index.m3u8
天津卫视,http://222.223.41.27:8888/hls/32/index.m3u8
东方卫视,http://222.223.41.27:8888/hls/42/index.m3u8
重庆卫视,http://222.223.41.27:8888/hls/43/index.m3u8
湖南卫视,http://222.223.41.27:8888/hls/27/index.m3u8
浙江卫视,http://222.223.41.27:8888/hls/28/index.m3u8
江苏卫视,http://222.223.41.27:8888/hls/29/index.m3u8
山东卫视,http://222.223.41.27:8888/hls/34/index.m3u8
河南卫视,http://222.223.41.27:8888/hls/36/index.m3u8
吉林卫视,http://222.223.41.27:8888/hls/47/index.m3u8
辽宁卫视,http://222.223.41.27:8888/hls/33/index.m3u8
黑龙江卫视,http://1.31.14.70:54321/hls/15/index.m3u8
安徽卫视,http://222.223.41.27:8888/hls/30/index.m3u8
四川卫视,http://222.223.41.27:8888/hls/37/index.m3u8
江西卫视,http://222.223.41.27:8888/hls/38/index.m3u8
贵州卫视,http://222.223.41.27:8888/hls/39/index.m3u8
深圳卫视,http://222.223.41.27:8888/hls/40/index.m3u8
湖北卫视,http://222.223.41.27:8888/hls/41/index.m3u8
东南卫视,http://222.223.41.27:8888/hls/44/index.m3u8
广东卫视,http://222.223.41.27:8888/hls/45/index.m3u8
广西卫视,http://222.223.41.27:8888/hls/46/index.m3u8
内蒙古卫视,http://1.31.14.70:54321/hls/55/index.m3u8

浙江卫视,https://stream1.freetv.fun/27bde01f6e5506617bec575ba1293bfc0a149bafe1eb681562f3d956baae616a.m3u8
浙江卫视,https://play-qukan.cztv.com/live/1758879019692345.m3u8
